KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
ARSouth,Ashford,Kingsnorth,Acorn Close,0.23910803,Poor,191,51.11818,0.877226
ARSouth,Ashford,Kingsnorth,Antonius Court,0.20914605,Poor,38,51.126562,0.857436
ARSouth,Ashford,Ruckinge,Ash Hill,0.5055734,Good,24,51.068765,0.884109
ARSouth,Ashford,Kingsnorth,Ashford Road,0.53188217,Good,246,51.115487,0.856442
ARSouth,Ashford,Kingsnorth,Augustus Walk,0.28398073,Poor,39,51.125835,0.853347
ARSouth,Ashford,Kingsnorth,Aurelius Close,0.21137773,Poor,33,51.122863,0.857523
ARSouth,Ashford,Kingsnorth,Autumn Drive,0.5766029,Good,41,51.108346,0.881348
ARSouth,Ashford,Woodchurch,Back Lane,0.21278271,Poor,2,51.080796,0.77318
ARSouth,,Kingsnorth,Bale Place,0.638536,Very Good,30,51.10663,0.883113
ARSouth,Ashford,Hamstreet,Bankside,0.400817,Good,60,51.066114,0.853268
ARSouth,Ashford,,Bargates,0.3879575,Moderate,37,51.130063,0.845202
ARSouth,Ashford,,Barley Way,0.3107372,Moderate,71,51.12654,0.843213
ARSouth,Ashford,Kingsnorth,Bell Chapel Close,0.49148315,Good,99,51.121671,0.872055
ARSouth,Ashford,Kingsnorth,Beltex Place,0.043762293,Poor,10,51.114507,0.882442
ARSouth,Ashford,,Bensted,0.42097834,Good,52,51.126932,0.851856
ARSouth,Ashford,Woodchurch,Bethersden Road,0.6231301,Very Good,199,51.132642,0.700825
ARSouth,Ashford,Ruckinge,Bilsington Road,0.4638503,Good,24,51.068283,0.893787
ARSouth,Ashford,Hamstreet,Birchett Lane,0.2359892,Poor,6,51.081303,0.843369
ARSouth,Ashford,Kingsnorth,Bishopswood,0.32200795,Moderate,92,51.117227,0.872808
ARSouth,Ashford,Kingsnorth,Blackthorn Way,0.21515572,Poor,77,51.118399,0.871581
ARSouth,Ashford,Shadoxhurst,Blindgrooms Lane,0.19846064,Poor,14,51.110873,0.830552
ARSouth,Ashford,Kingsnorth,Bluebell Close,0.21816814,Poor,102,51.124054,0.870617
ARSouth,Ashford,Kingsnorth,Bluebell Road,0.3615634,Moderate,206,51.113645,0.878745
ARSouth,Ashford,Kingsnorth,Bodiam Avenue,0.4025898,Good,23,51.112786,0.884036
ARSouth,Ashford,Woodchurch,Boldshaves Lane,0.2769563,Poor,12,51.090737,0.749442
ARSouth,Ashford,Kingsnorth,Bond Lane,0.58967453,Good,26,51.112164,0.862492
ARSouth,Ashford,Bilsington,Bonnington Road,0.5828562,Good,35,51.073495,0.911702
ARSouth,Ashford,Hamstreet,Bourne Lane,0.3393004,Moderate,18,51.067815,0.857641
ARSouth,Ashford,Bilsington,Bourne Road,0.49621207,Good,4,51.092017,0.915535
ARSouth,Ashford,Woodchurch,Bournes Place,0.33072513,Moderate,18,51.08018,0.775628
ARSouth,Ashford,Hamstreet,Bournewood,0.29466894,Poor,104,51.067149,0.858
ARSouth,Ashford,Kingsnorth,Bramble Walk,0.2015212,Poor,45,51.113256,0.876649
ARSouth,Ashford,Woodchurch,Brattle,0.3469936,Moderate,91,51.070131,0.776511
ARSouth,Ashford,,Brentwood,0.20339063,Poor,46,51.126404,0.849908
ARSouth,Ashford,Woodchurch,Bridge Close,0.1642939,Poor,51,51.071047,0.777679
ARSouth,Ashford,Kingsnorth,Bridleway Lane,0.35171258,Moderate,56,51.120495,0.865365
ARSouth,,Hamstreet,Brimstone Road,0.37004882,Moderate,41,51.070533,0.854958
ARSouth,Ashford,Kingsnorth,Brisley Close,0.15628864,Poor,50,51.130086,0.840901
ARSouth,Ashford,Kingsnorth,Brisley Court,0.22605851,Poor,85,51.129674,0.84159
ARSouth,Ashford,Bilsington,Brisley Lane,0.31709212,Moderate,30,51.094622,0.885295
ARSouth,Ashford,Kingsnorth,Britannia Lane,0.31150046,Moderate,65,51.125594,0.853632
ARSouth,Ashford,,Broadmead,0.3989119,Moderate,57,51.133135,0.843132
ARSouth,Ashford,Kingsnorth,Broadview Close,0.50821555,Good,69,51.112713,0.881159
ARSouth,Ashford,Bilsington,Brockmans Lane,0.2881632,Poor,16,51.100978,0.891976
ARSouth,Ashford,Ruckinge,Bromley Green Road,0.54856795,Good,272,51.093917,0.853566
ARSouth,Ashford,Woodchurch,Brook Street,0.45338887,Good,98,51.070313,0.753527
ARSouth,Ashford,Kingsnorth,Bryony Drive,0.28101903,Poor,185,51.116331,0.875968
ARSouth,Ashford,Hamstreet,Bunkley Meadow,0.3486216,Moderate,30,51.06434,0.855557
ARSouth,Ashford,Kingsnorth,Butterside Road,0.26053283,Poor,121,51.120172,0.876664
ARSouth,Ashford,Kingsnorth,Caesar Avenue,0.35918847,Moderate,142,51.12335,0.856009
ARSouth,Ashford,Ruckinge,Capel Road,0.57692474,Good,82,51.086864,0.857306
ARSouth,Ashford,Hamstreet,Carters Wood,0.25205848,Poor,66,51.065169,0.860276
ARSouth,Ashford,Kingsnorth,Centurion Walk,0.30364552,Moderate,94,51.122944,0.868533
ARSouth,Ashford,Kingsnorth,Chaffinch Drive,0.3519781,Moderate,72,51.117087,0.875586
ARSouth,Ashford,,Charminster,0.4517805,Good,33,51.129228,0.844379
ARSouth,Ashford,Kingsnorth,Chartwell Road,0.49389803,Good,20,51.112392,0.883611
ARSouth,Ashford,Kingsnorth,Cheesemans Green Lane,0.5159255,Good,32,51.110735,0.882965
ARSouth,Ashford,Shadoxhurst,Chequers Green,0.4469259,Good,31,51.10877,0.817093
ARSouth,Ashford,Woodchurch,Cherry Orchard,0.25224698,Poor,30,51.082043,0.771413
ARSouth,Ashford,Kingsnorth,Chestnut Lane,0.66500217,Very Good,130,51.123374,0.872647
