KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
Cranbrook,Cranbrook,Hawkhurst,Rye Road,0.7002663,Very Good,454,51.041611,0.531828
Cranbrook,Cranbrook,,Turner Avenue,0.66678816,Very Good,144,51.090919,0.536692
Cranbrook,,Hawkhurst,Stream Lane,0.6397772,Very Good,79,51.036151,0.511888
Cranbrook,Cranbrook,,Goudhurst Road,0.6373953,Very Good,130,51.113054,0.522087
Cranbrook,Cranbrook,,Dorothy Avenue,0.63009375,Very Good,107,51.092945,0.541074
Cranbrook,Cranbrook,Sandhurst,Linkhill,0.6207544,Very Good,36,51.023013,0.583508
Cranbrook,,Hawkhurst,Queens Road,0.6112717,Very Good,54,51.048631,0.512792
Cranbrook,Cranbrook,Sandhurst,Ringle Green,0.60914785,Very Good,19,51.024501,0.571497
Cranbrook,,Hawkhurst,Horns Hill,0.5906458,Good,38,51.038066,0.477812
Cranbrook,Cranbrook,Sandhurst,Crouch Lane,0.59008753,Good,40,51.026712,0.577625
Cranbrook,Cranbrook,Sandhurst,Bourne Lane,0.5885257,Good,12,51.021544,0.543098
Cranbrook,Cranbrook,Sissinghurst,The Common,0.585438,Good,129,51.113704,0.553028
Cranbrook,Cranbrook,,Ropewalk,0.5846664,Good,98,51.097518,0.533039
Cranbrook,Cranbrook,Hartley,Hartley Court Gardens,0.5722606,Good,55,51.087544,0.51263
Cranbrook,Cranbrook,Sissinghurst,Golford,0.5681094,Good,114,51.10252,0.587582
Cranbrook,Cranbrook,Benenden,The Street,0.5622578,Good,253,51.06756,0.579451
Cranbrook,,Hawkhurst,Delmonden Lane,0.56050736,Good,45,51.046046,0.474728
Cranbrook,Cranbrook,,Tippens Close,0.5533017,Good,8,51.094525,0.539189
Cranbrook,Cranbrook,,St Dunstans Walk,0.5521648,Good,14,51.093406,0.535214
Cranbrook,,Hawkhurst,Hensill Lane,0.54176235,Good,32,51.039212,0.501598
Cranbrook,Cranbrook,,Tilsden Lane,0.5379846,Good,34,51.090476,0.545065
Cranbrook,,Hawkhurst,Fieldways,0.536168,Good,30,51.044025,0.513341
Cranbrook,Cranbrook,Sandhurst,Poundfield Road,0.5359917,Good,36,51.026772,0.560655
Cranbrook,Cranbrook,,Winch Close,0.53257465,Good,7,51.090443,0.537894
Cranbrook,Cranbrook,,Hartley Road,0.53188664,Good,94,51.089586,0.517154
Cranbrook,,Hawkhurst,Woodbury Road,0.53008515,Good,68,51.050793,0.510226
Cranbrook,,Hawkhurst,Woodham Close,0.5288987,Good,26,51.045641,0.515884
Cranbrook,Cranbrook,,Frythe Walk,0.5265421,Good,25,51.092194,0.534649
Cranbrook,Cranbrook,Benenden,Iden Green,0.5260166,Good,99,51.057635,0.574719
Cranbrook,Cranbrook,Benenden,Goddards Green,0.5257697,Good,59,51.081951,0.597231
Cranbrook,Cranbrook,Bakers Cross,Little Bakers Cross,0.525745,Good,4,51.094101,0.541652
Cranbrook,Cranbrook,Bakers Cross,Sheafes House,0.525745,Good,2,51.094101,0.541652
Cranbrook,Cranbrook,,The Hill,0.5253469,Good,88,51.095031,0.539088
Cranbrook,,Hawkhurst,Park Cottages,0.51689166,Good,111,51.048914,0.513948
Cranbrook,,Hawkhurst,Water Lane,0.51597404,Good,119,51.07073,0.519443
Cranbrook,Cranbrook,Frittenden,Bubhurst Lane,0.5155848,Good,25,51.144148,0.611701
Cranbrook,Cranbrook,Benenden,Golford Road,0.51261204,Good,109,51.094346,0.547391
Cranbrook,Cranbrook,Benenden,New Pond Road,0.5085172,Good,98,51.075568,0.584208
Cranbrook,Cranbrook,Sandhurst,Sponden Lane,0.50527513,Good,57,51.033945,0.557072
Cranbrook,Cranbrook,,Pear Tree Close,0.5046063,Good,29,51.090843,0.538515
Cranbrook,Cranbrook,Benenden,Cranbrook Road,0.5007548,Good,702,51.071159,0.56222
Cranbrook,Cranbrook,,The Tanyard,0.49890044,Good,28,51.095218,0.5366
Cranbrook,Cranbrook,Frittenden,Mill Lane,0.49654403,Good,70,51.109965,0.553337
Cranbrook,Cranbrook,,Farmstead Way,0.4938635,Good,35,51.089271,0.521336
Cranbrook,Cranbrook,Benenden,Dingleden,0.49104798,Good,50,51.050335,0.590907
Cranbrook,Cranbrook,,Norman Rise,0.4876204,Good,27,51.091718,0.536721
Cranbrook,Cranbrook,,Pennyfields,0.48749912,Good,36,51.091719,0.538335
Cranbrook,Cranbrook,Goudhurst,Park Lane,0.48683426,Good,33,51.074088,0.493859
Cranbrook,,Hawkhurst,Wellington Cottages,0.48467782,Good,62,51.059229,0.502676
Cranbrook,Cranbrook,,Frythe Close,0.48318136,Good,26,51.09287,0.539184
Cranbrook,Cranbrook,,Town Meadow,0.4797032,Good,14,51.093358,0.538268
Cranbrook,Cranbrook,Sandhurst,Back Road,0.47883517,Good,39,51.025745,0.565234
Cranbrook,,Hawkhurst,Birchfield Grove,0.47285667,Good,42,51.04654,0.517573
Cranbrook,,Hawkhurst,Tongswood Drive,0.47254768,Good,17,51.045438,0.529554
Cranbrook,Cranbrook,Hawkhurst,Norris Close,0.46997732,Good,45,51.048131,0.51188
Cranbrook,Cranbrook,Hartley,Hawkhurst Road,0.46943256,Good,107,51.07974,0.509979
Cranbrook,Cranbrook,,Rectory Lane,0.46845815,Good,13,51.097157,0.534776
Cranbrook,Cranbrook,,Stone Street,0.4652451,Good,68,51.096317,0.536616
Cranbrook,Cranbrook,,Horseshoe Lane,0.46520674,Good,6,51.089907,0.521056
Cranbrook,Cranbrook,Sissinghurst,Starvenden Lane,0.46398944,Good,42,51.120975,0.54707
Cranbrook,Cranbrook,,Campion Crescent,0.45926422,Good,57,51.086778,0.512303
Cranbrook,Cranbrook,,Greenway,0.45739502,Good,13,51.093536,0.524223
Cranbrook,Cranbrook,Sissinghurst,Hovendens,0.45723805,Good,46,51.110535,0.559699
Cranbrook,,Hawkhurst,Oakfield,0.45665222,Good,68,51.050256,0.507129
Cranbrook,Cranbrook,,Quaker Drive,0.45375738,Good,43,51.103069,0.538357
