KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
TWEast,TW,,Sherwood Way,0.7585626,Very Good,70,51.14162,0.284898
TWEast,TW,,Ferndale Close,0.70308834,Very Good,101,51.136815,0.274869
TWEast,TW,Pembury,Elmhurst Avenue,0.6965883,Very Good,104,51.153986,0.328697
TWEast,TW,,Grampian Close,0.69331455,Very Good,17,51.138309,0.283605
TWEast,TW,,Malton Way,0.6882375,Very Good,59,51.145416,0.297739
TWEast,TW,,Badgers Holt,0.68119633,Very Good,79,51.140832,0.291636
TWEast,TW,Pembury,Highfield Close,0.6743612,Very Good,83,51.143244,0.325711
TWEast,TW,,The Ridings,0.67345524,Very Good,22,51.143119,0.295595
TWEast,TW,Pembury,Pembury Close,0.67242265,Very Good,23,51.147995,0.328223
TWEast,TW,,Sherwood Park,0.67218584,Very Good,14,51.139728,0.289208
TWEast,TW,Pembury,Romford Road,0.67091805,Very Good,222,51.149746,0.34866
TWEast,TW,Pembury,Knights Close,0.66450614,Very Good,27,51.149475,0.327569
TWEast,TW,,Blackhurst Lane,0.65778106,Very Good,27,51.143924,0.295406
TWEast,TW,Pembury,The Forstal,0.6535718,Very Good,34,51.150502,0.329221
TWEast,TW,,Cedar Ridge,0.6520034,Very Good,35,51.141466,0.283474
TWEast,TW,,Elsanta Close,0.6511674,Very Good,22,51.149373,0.294002
TWEast,TW,Pembury,Herons Way,0.6401692,Very Good,140,51.152365,0.331933
TWEast,TW,,Ferndale,0.6368783,Very Good,158,51.139078,0.281956
TWEast,TW,,Coppice Close,0.63071424,Very Good,32,51.149649,0.295474
TWEast,TW,Pembury,Belfield Road,0.62989557,Very Good,110,51.143454,0.327352
TWEast,TW,,Western Road,0.6294081,Very Good,94,51.139814,0.272843
TWEast,TW,,Springhead,0.627563,Very Good,102,51.139529,0.28145
TWEast,TW,Pembury,Woodside Close,0.6272512,Very Good,9,51.143072,0.335696
TWEast,TW,Pembury,Chalket Lane,0.6164667,Very Good,47,51.14208,0.321378
TWEast,TW,Pembury,Henwood Green Road,0.6151995,Very Good,270,51.145223,0.328856
TWEast,TW,Pembury,Woodsgate Way,0.6130624,Very Good,45,51.144777,0.314179
TWEast,TW,,Stanley Road,0.6104391,Very Good,141,51.138913,0.268739
TWEast,TW,Pembury,Lower Green Road,0.607228,Very Good,179,51.144581,0.323577
TWEast,TW,Pembury,Heskett Park,0.6045951,Very Good,97,51.144602,0.331026
TWEast,TW,Pembury,Ridgeway,0.6034078,Very Good,270,51.148788,0.32639
TWEast,TW,Pembury,The Gill,0.59839666,Good,87,51.15112,0.331255
TWEast,TW,,Sandown Grove,0.5976557,Good,27,51.143873,0.297076
TWEast,TW,,Stratford Street,0.5948716,Good,38,51.140261,0.27205
TWEast,TW,Pembury,Beagles Wood Road,0.59008634,Good,245,51.148457,0.330377
TWEast,TW,,Hill Street,0.5847644,Good,25,51.137287,0.266699
TWEast,TW,Pembury,The Coppice,0.58187485,Good,57,51.147298,0.326244
TWEast,TW,Pembury,Woodhill Park,0.5813252,Good,197,51.144617,0.320404
TWEast,TW,,Sherwood Road,0.57399195,Good,322,51.13985,0.286183
TWEast,TW,,Ravenswood Avenue,0.57216907,Good,232,51.140711,0.278934
TWEast,TW,,Medway Road,0.5717681,Good,84,51.140559,0.269663
TWEast,TW,,Hilbert Road,0.564502,Good,85,51.139896,0.277851
TWEast,TW,,Sandhurst Road,0.5638663,Good,341,51.139795,0.284408
TWEast,TW,,Waverley Drive,0.56286174,Good,11,51.143193,0.29963
TWEast,TW,,Beulah Road,0.5606129,Good,193,51.136204,0.272537
TWEast,TW,,Orchard Close,0.5478427,Good,20,51.145894,0.282478
TWEast,TW,,Henley Close,0.5475147,Good,14,51.137106,0.277883
TWEast,TW,,Rosehip Lane,0.5442508,Good,30,51.150619,0.294164
TWEast,TW,Pembury,Church Road,0.54032576,Good,112,51.152341,0.327742
TWEast,TW,,Havering Close,0.5387318,Good,23,51.142507,0.296006
TWEast,TW,Pembury,Sandhurst Avenue,0.53805804,Good,79,51.140488,0.33538
TWEast,TW,Pembury,Westway,0.53521675,Good,52,51.146164,0.323599
TWEast,TW,Pembury,Henwoods Mount,0.5349744,Good,39,51.14134,0.333707
TWEast,TW,,Squirrel Way,0.52493346,Good,18,51.137144,0.286991
TWEast,TW,,Hedgerow Lane,0.52476317,Good,39,51.152085,0.29418
TWEast,TW,Pembury,Gimble Way,0.5209675,Good,69,51.154188,0.326204
