KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
TWNorth,TW,Southborough,Manor Road,0.7612984,Very Good,93,51.155888,0.250721
TWNorth,TW,Southborough,Carville Avenue,0.74307805,Very Good,41,51.157801,0.255635
TWNorth,TW,Southborough,Holden Road,0.7341708,Very Good,92,51.160016,0.255043
TWNorth,TW,Southborough,Charles Street,0.70874953,Very Good,83,51.154304,0.258825
TWNorth,TW,Southborough,Ruscombe Close,0.68759453,Very Good,32,51.161392,0.255024
TWNorth,TW,Southborough,Pinewood Gardens,0.67829394,Very Good,156,51.159085,0.261333
TWNorth,TW,Southborough,Pennington Road,0.677033,Very Good,170,51.161668,0.25977
TWNorth,TW,Southborough,Edward Street,0.67611057,Very Good,204,51.153976,0.257179
TWNorth,TW,Southborough,Prospect Road,0.66506314,Very Good,243,51.155615,0.255556
TWNorth,TW,Southborough,Hillcrest,0.6644998,Very Good,77,51.154698,0.268183
TWNorth,TW,Southborough,Crendon Park,0.6630996,Very Good,75,51.155719,0.261912
TWNorth,TW,Southborough,Yew Tree Road,0.66107416,Very Good,271,51.15472,0.262421
TWNorth,TW,Southborough,Crundwell Road,0.65949124,Very Good,100,51.15719,0.253289
TWNorth,TW,Southborough,Castle Street,0.6547044,Very Good,45,51.161274,0.257893
TWNorth,TW,Southborough,Park Road,0.6527037,Very Good,200,51.160898,0.259561
TWNorth,TW,Southborough,Meadow Road,0.6495873,Very Good,123,51.156974,0.25794
TWNorth,TW,Southborough,The Ridgewaye,0.64787143,Very Good,114,51.156943,0.265619
TWNorth,TW,Southborough,Forge Road,0.6458374,Very Good,66,51.155491,0.257911
TWNorth,TW,Southborough,Springfield Road,0.6456415,Very Good,204,51.157743,0.257692
TWNorth,TW,Southborough,Doric Avenue,0.6452963,Very Good,82,51.158763,0.25707
TWNorth,TW,Southborough,Keel Gardens,0.6431643,Very Good,64,51.154694,0.249335
TWNorth,TW,Southborough,Holden Park Road,0.64314914,Very Good,99,51.155159,0.258324
TWNorth,TW,Southborough,Chestnut Avenue,0.62546057,Very Good,146,51.152357,0.267439
TWNorth,TW,Southborough,Taylor Street,0.6117393,Very Good,109,51.154158,0.257901
TWNorth,TW,,All Saints Road,0.6107619,Very Good,102,51.145386,0.266438
TWNorth,TW,,Woodland Close,0.6076856,Very Good,36,51.149129,0.271926
TWNorth,TW,,Queens Road,0.60681987,Very Good,410,51.143465,0.268574
TWNorth,TW,Southborough,Vale Avenue,0.60251546,Very Good,27,51.159075,0.25627
TWNorth,TW,Southborough,Fernhurst Crescent,0.6009229,Very Good,85,51.161609,0.261986
TWNorth,TW,Southborough,Victoria Road,0.5965685,Good,74,51.158492,0.245313
TWNorth,TW,Southborough,Salomons Grove,0.5932621,Good,85,51.156179,0.261318
TWNorth,TW,,Wilman Road,0.59315836,Good,179,51.148856,0.264765
TWNorth,TW,Southborough,Vale Road,0.58296585,Good,79,51.159896,0.256152
TWNorth,TW,Southborough,Juniper Close,0.5822423,Good,51,51.157062,0.281657
TWNorth,TW,Southborough,Sheffield Road,0.5794382,Good,42,51.160944,0.258192
TWNorth,TW,Southborough,Prospect Park,0.57483494,Good,57,51.157559,0.252806
TWNorth,TW,Southborough,Breedon Avenue,0.572213,Good,16,51.158154,0.256897
TWNorth,TW,Southborough,Aspen Way,0.5679812,Good,48,51.156185,0.278667
TWNorth,TW,,Reynolds Lane,0.5659276,Good,101,51.152325,0.2597
TWNorth,TW,Southborough,Walnut Way,0.5642287,Good,68,51.154893,0.28082
TWNorth,TW,Southborough,Brian Crescent,0.5642091,Good,63,51.154991,0.268797
TWNorth,TW,Southborough,Draper Street,0.5623047,Good,28,51.161094,0.257311
TWNorth,TW,Southborough,Bedford Road,0.55892193,Good,66,51.156875,0.25888
TWNorth,TW,,Cunningham Close,0.55699474,Good,24,51.149415,0.267924
TWNorth,TW,Southborough,Garlinge Road,0.54964906,Good,41,51.159391,0.259816
TWNorth,TW,Southborough,Barnetts Way,0.54396665,Good,61,51.154708,0.275077
TWNorth,TW,Southborough,Sir Davids Park,0.54233545,Good,86,51.155899,0.24885
TWNorth,TW,Southborough,The Fairways,0.540458,Good,18,51.150783,0.264631
TWNorth,TW,Southborough,Hythe Close,0.5400525,Good,49,51.15714,0.260537
TWNorth,TW,Southborough,West Park Avenue,0.5369642,Good,20,51.15839,0.25821
TWNorth,TW,Southborough,Vicarage Road,0.5345679,Good,49,51.162821,0.257781
TWNorth,TW,Southborough,Mulberry Close,0.5262794,Good,38,51.156308,0.280218
TWNorth,TW,Southborough,St Andrews Park Road,0.5236344,Good,61,51.15778,0.261282
TWNorth,TW,Southborough,Elm Road,0.5229222,Good,44,51.15665,0.257467
TWNorth,TW,Southborough,Colonels Way,0.5193169,Good,36,51.16094,0.263555
TWNorth,TW,,Hasletts Close,0.5146279,Good,23,51.14265,0.271267
TWNorth,TW,Southborough,Woolley Road,0.5064532,Good,109,51.155914,0.253212
TWNorth,TW,Southborough,Norton Road,0.50426924,Good,51,51.156531,0.258432
TWNorth,TW,Southborough,South View Road,0.49634397,Good,128,51.150869,0.271356
TWNorth,TW,Southborough,Summerhill Avenue,0.49524322,Good,25,51.158375,0.254805
TWNorth,TW,Southborough,Blackthorn Avenue,0.49350977,Good,120,51.155695,0.280316
TWNorth,TW,Southborough,Hornbeam Avenue,0.4927739,Good,73,51.15581,0.281752
TWNorth,TW,Southborough,Modest Corner,0.4919385,Good,44,51.159301,0.244968
TWNorth,TW,Southborough,Park House Gardens,0.4763574,Good,67,51.160193,0.261258
TWNorth,TW,,Hopwood Gardens,0.47533432,Good,130,51.144118,0.264705
TWNorth,TW,Southborough,Trotting Hill Gardens,0.46802136,Good,20,51.153054,0.248009
TWNorth,TW,Southborough,Lambersart Close,0.4677877,Good,21,51.155308,0.27984
TWNorth,TW,Southborough,Laurel Bank,0.46668038,Good,21,51.151412,0.265148
TWNorth,TW,Southborough,Darnley Drive,0.4645455,Good,60,51.169349,0.24946
TWNorth,TW,,All Saints Rise,0.46263352,Good,24,51.144033,0.263471
