KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
TWRural,Tonbridge,Paddock Wood,The Violets,0.72798437,Very Good,32,51.173305,0.393249
TWRural,Tonbridge,Paddock Wood,Bullion Close,0.6537906,Very Good,71,51.178465,0.380982
TWRural,Tonbridge,Matfield,Petteridge Lane,0.6466282,Very Good,188,51.144143,0.379802
TWRural,Tonbridge,Matfield,Chestnut Lane,0.6464741,Very Good,64,51.154539,0.372671
TWRural,Tonbridge,Paddock Wood,Heather Bank,0.6435065,Very Good,21,51.175297,0.395141
TWRural,Tonbridge,Paddock Wood,Clover Way,0.6179111,Very Good,90,51.174564,0.391912
TWRural,Tonbridge,Brenchley,Brenchley Road,0.6088574,Very Good,246,51.150719,0.388448
TWRural,Tonbridge,Paddock Wood,Redpoll Walk,0.60757136,Very Good,18,51.171976,0.389175
TWRural,Tonbridge,Paddock Wood,Chaffinch Way,0.6060598,Very Good,34,51.173105,0.389362
TWRural,Tonbridge,Paddock Wood,Bluebell Walks,0.59547967,Good,41,51.174944,0.392232
TWRural,Tonbridge,Paddock Wood,Bullfinch Close,0.59317344,Good,32,51.173715,0.390752
TWRural,Tonbridge,Five Oak Green,Colts Hill,0.58267653,Good,73,51.173261,0.35954
TWRural,TW,Lamberhurst,The Slade,0.5777199,Good,99,51.090099,0.385465
TWRural,Tonbridge,Paddock Wood,The Greenways,0.5702282,Good,49,51.17431,0.381011
TWRural,Tonbridge,Horsmonden,Gibbet Lane,0.568068,Good,59,51.140936,0.428118
TWRural,Tonbridge,Matfield,The Green,0.55972195,Good,72,51.151631,0.367131
TWRural,Tonbridge,Paddock Wood,Station Road,0.55645174,Good,35,51.181619,0.387713
TWRural,Tonbridge,Matfield,Coppers Lane,0.55465746,Good,24,51.154158,0.377786
TWRural,Tonbridge,Matfield,Oakfield Road,0.55454034,Good,66,51.149136,0.370864
TWRural,Tonbridge,Paddock Wood,Tully Drive,0.5481185,Good,41,51.171727,0.394241
TWRural,Tonbridge,Paddock Wood,Clavadel Road,0.54703593,Good,8,51.181169,0.389979
TWRural,Tonbridge,Matfield,Standings Close,0.5461516,Good,36,51.154929,0.374307
TWRural,Tonbridge,Paddock Wood,Mascalls Park,0.5452874,Good,68,51.172778,0.383336
TWRural,TW,Lamberhurst,Bayham Abbey,0.5450066,Good,42,51.108039,0.344801
TWRural,TW,Lamberhurst,Town Hill,0.5388843,Good,53,51.098888,0.389789
TWRural,TW,Lamberhurst,School Hill,0.53457564,Good,93,51.102849,0.39365
TWRural,Tonbridge,Paddock Wood,Alliance Way,0.5331188,Good,87,51.178035,0.383994
TWRural,Tonbridge,Matfield,Beech Lane,0.53231007,Good,24,51.131766,0.358496
TWRural,Tonbridge,Paddock Wood,Chantlers Hill,0.529728,Good,37,51.166964,0.389287
TWRural,Tonbridge,Paddock Wood,Ringden Avenue,0.52830917,Good,197,51.175728,0.378481
TWRural,Tonbridge,Matfield,Gedges Hill,0.52372444,Good,50,51.161154,0.382694
TWRural,Tonbridge,Paddock Wood,Fuggles Close,0.51987505,Good,72,51.176421,0.379375
TWRural,TW,Lamberhurst,Hog Hole Lane,0.51659095,Good,19,51.088498,0.372644
TWRural,Tonbridge,Five Oak Green,Whetsted Road,0.51571673,Good,244,51.184674,0.360353
TWRural,Tonbridge,Paddock Wood,Siskin Gardens,0.51381093,Good,51,51.172503,0.391562
TWRural,Tonbridge,Paddock Wood,Keyworth Close,0.5137449,Good,25,51.179406,0.381589
TWRural,Tonbridge,Paddock Wood,Linnet Avenue,0.51127386,Good,41,51.171887,0.390014
TWRural,Tonbridge,Matfield,Crittenden Road,0.50884753,Good,89,51.167074,0.368351
TWRural,Tonbridge,Five Oak Green,Sychem Place,0.5076154,Good,134,51.181261,0.348144
TWRural,Tonbridge,Horsmonden,Oast View,0.5025009,Good,56,51.138166,0.434563
TWRural,Tonbridge,Paddock Wood,Laxton Gardens,0.50003153,Good,65,51.181759,0.380437
TWRural,Tonbridge,Paddock Wood,Lucknow Road,0.49753493,Good,27,51.184689,0.388458
TWRural,Tonbridge,Horsmonden,Goudhurst Road,0.49600667,Good,228,51.137559,0.435231
TWRural,Tonbridge,Horsmonden,Gunlands,0.49547747,Good,25,51.141408,0.431788
TWRural,TW,Lamberhurst,Clay Hill Road,0.4942954,Good,31,51.105261,0.365275
TWRural,Tonbridge,Paddock Wood,Challenger Close,0.49137026,Good,30,51.176687,0.38308
TWRural,Tonbridge,Paddock Wood,St Andrews Close,0.4834797,Good,52,51.179428,0.391563
TWRural,Tonbridge,Paddock Wood,Goldings,0.48337257,Good,46,51.174829,0.379308
TWRural,Tonbridge,Five Oak Green,Badsell Road,0.4832085,Good,141,51.177309,0.369677
TWRural,Tonbridge,Five Oak Green,Willow Crescent,0.4812435,Good,77,51.184236,0.352703
TWRural,TW,Lamberhurst,Pearse Place,0.47850338,Good,69,51.098902,0.391818
TWRural,TW,Lamberhurst,Down Avenue,0.47173253,Good,27,51.094271,0.38958
TWRural,Tonbridge,Paddock Wood,Morgan Way,0.46437976,Good,65,51.171809,0.379238
TWRural,Tonbridge,Brenchley,Blind Lane,0.46030164,Good,30,51.15358,0.398606
TWRural,Tonbridge,Paddock Wood,The Shires,0.45814392,Good,56,51.181192,0.394144
TWRural,Tonbridge,Paddock Wood,Warrington Road,0.4547487,Good,277,51.176679,0.394025
TWRural,Tonbridge,Paddock Wood,Concord Close,0.45241752,Good,41,51.180236,0.380587
TWRural,Tonbridge,Horsmonden,Lamberts Place,0.45217064,Good,25,51.136289,0.436693
TWRural,Tonbridge,Horsmonden,Furnace Mere,0.45165285,Good,57,51.141199,0.426688
TWRural,,Lamberhurst,Grantham Hall,0.44510654,Good,3,51.109593,0.394142
TWRural,Tonbridge,Paddock Wood,Poppy Meadow,0.44497007,Good,17,51.174876,0.393817
TWRural,Tonbridge,Horsmonden,Grovehurst Lane,0.4439049,Good,69,51.135193,0.4478
TWRural,Tonbridge,Five Oak Green,Oak Road,0.4423245,Good,32,51.18347,0.353222
TWRural,Tonbridge,,Bloxham Avenue,0.44122562,Good,25,51.170609,0.392609
TWRural,Tonbridge,Horsmonden,Schoolhouse Lane,0.44091207,Good,84,51.144275,0.454343
TWRural,Tonbridge,Paddock Wood,Queen Street,0.43821126,Good,119,51.182226,0.410712
TWRural,Tonbridge,Paddock Wood,Atherall Drive,0.4377475,Good,29,51.170299,0.393294
TWRural,Tonbridge,Paddock Wood,Blackberry Way,0.43764794,Good,92,51.17627,0.395148
