KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
TWSouth,TW,,Kingswood Close,0.80243236,Very Good,8,51.130829,0.276061
TWSouth,TW,,Scotts Way,0.69189286,Very Good,56,51.119536,0.247098
TWSouth,TW,,St Marks Road,0.66008246,Very Good,44,51.114677,0.25332
TWSouth,TW,,Concord Close,0.6426561,Very Good,14,51.13531,0.278297
TWSouth,TW,Langton Green,Tea Garden Lane,0.64001954,Very Good,18,51.129253,0.230932
TWSouth,TW,,Camden Hill,0.6367243,Very Good,35,51.128538,0.271803
TWSouth,TW,,Broadwater Rise,0.63651544,Very Good,71,51.121267,0.255284
TWSouth,TW,,Cambridge Street,0.63544244,Very Good,81,51.12932,0.272226
TWSouth,TW,,Halls Hole Road,0.634921,Very Good,80,51.128182,0.283606
TWSouth,TW,,Brendon Close,0.6299002,Very Good,19,51.138135,0.28191
TWSouth,TW,,Pennine Walk,0.6268896,Very Good,71,51.137524,0.281821
TWSouth,TW,,Nevill Park,0.6140845,Very Good,96,51.129331,0.244729
TWSouth,TW,,Broadmead,0.6124395,Very Good,266,51.118659,0.253428
TWSouth,TW,,Windmill Street,0.60664684,Very Good,63,51.129888,0.274971
TWSouth,TW,,Bayhall Road,0.60064924,Very Good,119,51.128216,0.279548
TWSouth,TW,,Cleveland,0.5980276,Good,113,51.1363,0.280561
TWSouth,TW,,Chester Avenue,0.59017986,Good,38,51.126505,0.283366
TWSouth,TW,,Broadwater Down,0.58156925,Good,446,51.116117,0.249032
TWSouth,TW,,Pembury Road,0.5809948,Good,264,51.133519,0.277422
TWSouth,TW,,Summervale Road,0.577333,Good,220,51.122594,0.242873
TWSouth,TW,,Strawberry Close,0.57503206,Good,30,51.114963,0.245461
TWSouth,TW,,Crawford Close,0.5744071,Good,34,51.122627,0.246776
TWSouth,TW,,Trinity Close,0.56576073,Good,70,51.132462,0.278114
TWSouth,TW,,Hockbury Crescent,0.55628186,Good,54,51.120259,0.285815
TWSouth,TW,,Broadwater Lane,0.55306417,Good,132,51.121868,0.251198
TWSouth,TW,,Rookley Close,0.5489355,Good,17,51.127159,0.281669
TWSouth,TW,,Broadcroft,0.54841083,Good,40,51.118861,0.254624
TWSouth,TW,,Spring Walk,0.5429877,Good,37,51.122938,0.245562
TWSouth,TW,,Seymour Drive,0.54119223,Good,65,51.119306,0.285339
TWSouth,TW,,Bucklers Close,0.5386158,Good,15,51.131412,0.274775
TWSouth,TW,,Leneda Drive,0.5350877,Good,61,51.118363,0.248241
TWSouth,TW,,Dukes Drive,0.5324786,Good,81,51.114344,0.265348
TWSouth,TW,Pembury,Cornford Lane,0.5298601,Good,114,51.13691,0.309468
TWSouth,TW,,Glenmore Park,0.5294618,Good,61,51.117443,0.252583
TWSouth,TW,,Hungershall Park,0.52823246,Good,58,51.125813,0.246216
TWSouth,TW,,Langton Road,0.52780515,Good,62,51.129949,0.2443
TWSouth,TW,,Eastlands Road,0.519198,Good,69,51.119913,0.243872
TWSouth,TW,,Stafford Road,0.51798207,Good,24,51.135977,0.291996
TWSouth,TW,,Sherborne Close,0.5165076,Good,113,51.124689,0.283762
TWSouth,TW,,Harescroft,0.5163928,Good,34,51.115092,0.255112
TWSouth,TW,,College Drive,0.51570696,Good,22,51.13465,0.278908
TWSouth,TW,,Broadmead Avenue,0.51243526,Good,11,51.11805,0.249998
TWSouth,TW,,Oakfield Court Road,0.51156366,Good,15,51.128868,0.271019
TWSouth,TW,,Duncalf Road,0.51106787,Good,157,51.1219,0.284695
TWSouth,TW,,Underwood Rise,0.5084943,Good,112,51.12023,0.253119
TWSouth,TW,,Rowan Tree Road,0.50685924,Good,76,51.122172,0.248912
TWSouth,TW,,Friezland Road,0.506805,Good,63,51.121429,0.239373
TWSouth,TW,,Kingswood Road,0.5060618,Good,237,51.13208,0.276051
TWSouth,TW,,Sibbey Close,0.5031471,Good,28,51.122083,0.285447
TWSouth,TW,,Sandrock Road,0.50097126,Good,195,51.135144,0.27663
TWSouth,TW,,Shepherds Walk,0.495082,Good,15,51.13335,0.279187
TWSouth,TW,,Princes Street,0.49251974,Good,94,51.129932,0.272729
TWSouth,TW,,Nottidge Road,0.48527303,Good,16,51.121084,0.240383
TWSouth,TW,,High Woods Lane,0.4790542,Good,26,51.126321,0.286257
TWSouth,TW,,Chiltern Walk,0.4756507,Good,45,51.136639,0.279291
TWSouth,TW,,Prospect Road,0.4744087,Good,85,51.128991,0.270682
TWSouth,TW,,St Peters Street,0.4694146,Good,39,51.12993,0.275544
TWSouth,TW,,Cromwell Road,0.46672857,Good,95,51.129353,0.276603
TWSouth,TW,,George Street,0.46628162,Good,38,51.130159,0.273998
TWSouth,TW,,29ish Gardens,0.46351796,Good,4,51.116828,0.248581
TWSouth,TW,,Stuart Close,0.46099946,Good,15,51.118706,0.250973
TWSouth,TW,,Park Street,0.4591508,Good,53,51.130214,0.272956
TWSouth,TW,,Leicester Drive,0.45882973,Good,24,51.1185,0.250019
TWSouth,TW,,Frant Road,0.45850867,Good,323,51.118166,0.258948
TWSouth,TW,,Ramslye Road,0.45776635,Good,116,51.119482,0.241951
TWSouth,TW,,Eridge Road,0.45691174,Good,114,51.118727,0.239469
TWSouth,TW,,16ish Gardens,0.4533325,Good,1,51.116828,0.248581
TWSouth,TW,,Calverley Park,0.45065454,Good,67,51.131506,0.269962
TWSouth,TW,,Cleeve Avenue,0.4355166,Good,19,51.125908,0.284437
TWSouth,TW,,Acer Avenue,0.43516418,Good,46,51.115384,0.276702
TWSouth,TW,,Waterdown Road,0.42388853,Good,91,51.121632,0.241912
TWSouth,TW,,Elphicks Place,0.4156069,Good,22,51.117607,0.265966
TWSouth,TW,,Saunders Road,0.4096564,Good,24,51.12028,0.243047
TWSouth,TW,,Hunters Way,0.4094253,Good,44,51.120673,0.250182
TWSouth,TW,,Hungershall Park Close,0.40878928,Good,7,51.124569,0.242038
TWSouth,TW,,Chenies Close,0.4078945,Good,95,51.115998,0.258384
TWSouth,TW,,Moat Farm,0.39494997,Moderate,53,51.115286,0.256707
TWSouth,TW,,Cypress Grove,0.39489383,Moderate,28,51.116,0.275989
TWSouth,TW,,Warwick Park,0.38842028,Moderate,243,51.120339,0.266057
TWSouth,TW,,North Street,0.38780499,Moderate,68,51.130749,0.273241
TWSouth,TW,,Sidney Close,0.38511783,Moderate,59,51.118827,0.248892
TWSouth,TW,,Cherry Tree Road,0.38284588,Moderate,84,51.120657,0.247738
TWSouth,TW,,Calverley Park Crescent,0.38091207,Moderate,28,51.132381,0.267475
TWSouth,TW,,Waterfield,0.37613845,Moderate,31,51.114301,0.257417
TWSouth,TW,,Mendip Walk,0.36768737,Moderate,29,51.137284,0.279909
TWSouth,TW,,Cobbetts Ride,0.36753243,Moderate,74,51.121049,0.251201
TWSouth,TW,,Bayham Road,0.36214098,Moderate,87,51.114697,0.268095
TWSouth,TW,,Broad Grove,0.3563541,Moderate,16,51.119891,0.259933
TWSouth,TW,,The Ferns,0.3507886,Moderate,69,51.134174,0.271494
TWSouth,TW,,Castle Road,0.34519446,Moderate,5,51.129518,0.257401
TWSouth,TW,,Nevill Ridge,0.34473336,Moderate,6,51.130211,0.23914
TWSouth,TW,,High Street,0.34331083,Moderate,73,51.128434,0.261851
TWSouth,TW,,Christ Church Avenue,0.3411557,Moderate,16,51.128346,0.262704
TWSouth,TW,,Benhall Mill Road,0.33531824,Moderate,69,51.118063,0.273076
TWSouth,TW,,Calverley Park Gardens,0.33521602,Moderate,107,51.13232,0.272003
TWSouth,TW,,Copperfields,0.33453614,Moderate,27,51.115755,0.264532
TWSouth,TW,,24ish Gardens,0.33196735,Moderate,1,51.116828,0.248581
TWSouth,TW,,18ish Gardens,0.33057794,Moderate,1,51.116828,0.248581
TWSouth,TW,,20ish Gardens,0.33057794,Moderate,2,51.116828,0.248581
TWSouth,TW,,3ish Gardens,0.33057794,Moderate,1,51.116828,0.248581
TWSouth,TW,,6ish Gardens,0.33057794,Moderate,2,51.116828,0.248581
TWSouth,TW,,7ish Gardens,0.33057794,Moderate,2,51.116828,0.248581
TWSouth,TW,,Surrey Close,0.33057794,Moderate,12,51.11732,0.250591
TWSouth,TW,,The Pantiles,0.3276545,Moderate,85,51.126294,0.257659
TWSouth,TW,,Wallace Close,0.32499897,Moderate,47,51.116956,0.261519
TWSouth,TW,,11ish Gardens,0.32483247,Moderate,2,51.116828,0.248581
TWSouth,TW,,26ish Gardens,0.32483247,Moderate,2,51.116828,0.248581
TWSouth,TW,,Tudor Court,0.3233027,Moderate,64,51.119823,0.249012
TWSouth,TW,,Camden Park,0.32317862,Moderate,227,51.129316,0.275715
TWSouth,TW,,Mount Pleasant Road,0.32294822,Moderate,19,51.133734,0.263966
TWSouth,TW,,Nevill Terrace,0.3220534,Moderate,25,51.124296,0.254373
TWSouth,TW,,Linden Park Road,0.31679302,Moderate,196,51.12497,0.256264
TWSouth,TW,,High Rocks Lane,0.31661138,Moderate,1,51.124848,0.240137
TWSouth,TW,,Major Yorks Road,0.31656837,Moderate,3,51.129683,0.246917
TWSouth,TW,,Nevill Court,0.3160809,Moderate,42,51.127776,0.236707
TWSouth,TW,,Essex Close,0.3069628,Moderate,9,51.117766,0.251684
TWSouth,TW,,Crescent Road,0.3062918,Moderate,52,51.132094,0.265987
TWSouth,TW,,Mount Pleasant Avenue,0.30283025,Moderate,27,51.131147,0.263811
TWSouth,TW,,Hawkenbury Road,0.28515315,Poor,94,51.123366,0.279667
TWSouth,TW,,Cadogan Gardens,0.28290832,Poor,16,51.133167,0.26637
TWSouth,TW,,Lansdowne Road,0.28044608,Poor,163,51.134752,0.269521
TWSouth,TW,,10ish Gardens,0.2794678,Poor,3,51.116828,0.248581
TWSouth,TW,,12ish Gardens,0.2794678,Poor,2,51.116828,0.248581
TWSouth,TW,,14ish Gardens,0.2794678,Poor,1,51.116828,0.248581
TWSouth,TW,,15ish Gardens,0.2794678,Poor,1,51.116828,0.248581
TWSouth,TW,,17ish Gardens,0.2794678,Poor,4,51.116828,0.248581
TWSouth,TW,,19ish Gardens,0.2794678,Poor,2,51.116828,0.248581
TWSouth,TW,,1ish Gardens,0.2794678,Poor,2,51.116828,0.248581
TWSouth,TW,,22ish Gardens,0.2794678,Poor,2,51.116828,0.248581
TWSouth,TW,,25ish Gardens,0.2794678,Poor,2,51.116828,0.248581
TWSouth,TW,,27ish Gardens,0.2794678,Poor,1,51.116828,0.248581
TWSouth,TW,,4ish Gardens,0.2794678,Poor,3,51.116828,0.248581
TWSouth,TW,,5ish Gardens,0.2794678,Poor,3,51.116828,0.248581
TWSouth,TW,,9ish Gardens,0.2794678,Poor,3,51.116828,0.248581
TWSouth,TW,,Shandon Close,0.27930984,Poor,21,51.133734,0.275175
TWSouth,TW,,Charltons Way,0.27688017,Poor,51,51.120901,0.24479
TWSouth,TW,,Hargate Close,0.26697955,Poor,29,51.115303,0.24975
TWSouth,TW,,Maple Gardens,0.2592281,Poor,29,51.117698,0.271486
TWSouth,TW,,Mountfield Gardens,0.25597,Poor,61,51.12971,0.266115
TWSouth,TW,,St Georges Park,0.25445443,Poor,38,51.116153,0.255121
TWSouth,TW,,The Common,0.25365594,Poor,10,51.13101,0.255587
TWSouth,TW,,Meadow Hill Road,0.253564,Poor,43,51.128766,0.265154
TWSouth,TW,,Monson Road,0.25035307,Poor,10,51.133174,0.265541
TWSouth,TW,,Cumberland Walk,0.25020155,Poor,38,51.125953,0.260858
TWSouth,TW,,Little Mount Sion,0.24971128,Poor,38,51.127422,0.26163
TWSouth,TW,,Calverley Street,0.2460731,Poor,102,51.134617,0.268571
TWSouth,TW,,Devonshire Close,0.23893994,Poor,5,51.117854,0.248988
TWSouth,TW,,Broad Oak Close,0.2342314,Poor,12,51.1206,0.254423
TWSouth,TW,,Grove Hill Road,0.23163061,Poor,212,51.128829,0.266987
TWSouth,TW,,Brooker Drive,0.2301943,Poor,27,51.121216,0.286062
TWSouth,TW,,Mountfield Road,0.22727603,Poor,52,51.129633,0.264982
TWSouth,TW,,Spa Crescent,0.22616749,Poor,25,51.122259,0.246729
TWSouth,TW,,Eastlands Close,0.21860093,Poor,41,51.119409,0.245319
TWSouth,TW,,Bedford Terrace,0.21621457,Poor,17,51.126828,0.260156
TWSouth,TW,,Chieveley Drive,0.21295272,Poor,82,51.11924,0.279578
TWSouth,TW,,Whybourne Crest,0.20780875,Poor,51,51.12199,0.278756
TWSouth,TW,,South Grove,0.19301505,Poor,34,51.127855,0.262523
TWSouth,TW,,Castle Street,0.19279113,Poor,5,51.128014,0.261143
TWSouth,TW,,Cabbage Stalk Lane,0.18715173,Poor,7,51.124836,0.242281
TWSouth,TW,,Sutherland Road,0.18644133,Poor,42,51.128834,0.264414
TWSouth,TW,,Richmond Place,0.18478568,Poor,48,51.119566,0.264675
TWSouth,TW,,Maryland Road,0.18298136,Poor,84,51.120442,0.281566
TWSouth,TW,,Ash Close,0.18272156,Poor,58,51.114571,0.277834
TWSouth,TW,,Berkeley Road,0.18156365,Poor,46,51.1268,0.263041
TWSouth,TW,,Roundhill Road,0.1813055,Poor,30,51.120086,0.279077
TWSouth,TW,,Grover Street,0.178577,Poor,9,51.135153,0.268297
TWSouth,TW,,Monson Colonnade,0.17311203,Poor,38,51.133507,0.265072
TWSouth,TW,,Calverley Road,0.16546904,Poor,130,51.133945,0.266979
TWSouth,TW,,London Road,0.16199611,Poor,8,51.126546,0.2581
TWSouth,TW,,Lansdowne Square,0.16135648,Poor,21,51.13318,0.269401
TWSouth,TW,,Wood Mews,0.15784265,Poor,7,51.12206,0.239332
TWSouth,TW,,Linden Close,0.15738297,Poor,11,51.125075,0.256898
TWSouth,TW,,Claremont Road,0.15718205,Poor,141,51.127365,0.267757
TWSouth,TW,,Nelson Road,0.15549907,Poor,104,51.125596,0.280648
TWSouth,TW,,Carlton Road,0.15533867,Poor,31,51.134575,0.272143
TWSouth,TW,,Barnfield,0.15481943,Poor,40,51.114577,0.254744
TWSouth,TW,,Madeira Park,0.15227936,Poor,152,51.125248,0.263824
TWSouth,TW,,Mount Sion,0.14792696,Poor,229,51.126372,0.262806
TWSouth,TW,,Nevill Gate,0.14477938,Poor,10,51.121524,0.266672
TWSouth,TW,,Linden Gardens,0.14298332,Poor,87,51.122517,0.255673
TWSouth,TW,,Chapel Place,0.14155602,Poor,6,51.126914,0.259917
TWSouth,TW,,21ish Gardens,0.1395784,Poor,2,51.116828,0.248581
TWSouth,TW,,2ish Gardens,0.1395784,Poor,2,51.116828,0.248581
TWSouth,TW,,Garden Street,0.13784955,Poor,16,51.133638,0.267993
TWSouth,TW,,Clarendon Way,0.12493203,Poor,89,51.121393,0.257148
TWSouth,TW,,Clarendon Gardens,0.12194114,Poor,33,51.121506,0.259211
TWSouth,TW,,Forest Way,0.11795332,Poor,48,51.120972,0.278392
TWSouth,TW,,Nevill Street,0.11562412,Poor,41,51.126323,0.258932
TWSouth,TW,,Frankfield Rise,0.1135582,Poor,72,51.120411,0.257229
TWSouth,TW,,Newton Road,0.11205365,Poor,49,51.133785,0.265027
TWSouth,TW,,Frog Lane,0.1108434,Poor,13,51.127126,0.261615
TWSouth,TW,,Warwick Road,0.106746435,Poor,27,51.127531,0.261977
