KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
TWWest,TW,Rusthall,Shirley Grove,0.71357113,Very Good,61,51.13832,0.235456
TWWest,TW,Langton Green,Longmeads,0.71027887,Very Good,135,51.133855,0.224391
TWWest,TW,,Standen Street,0.7012003,Very Good,76,51.140919,0.257571
TWWest,TW,Rusthall,Shirley Gardens,0.6711656,Very Good,163,51.138958,0.233688
TWWest,TW,Rusthall,Westwood Road,0.65950805,Very Good,123,51.139755,0.22918
TWWest,TW,,Huntingdon Avenue,0.6576901,Very Good,57,51.13743,0.259301
TWWest,TW,Rusthall,Southwood Road,0.643022,Very Good,270,51.140227,0.229431
TWWest,TW,Rusthall,Hill View Road,0.64189965,Very Good,114,51.136342,0.229859
TWWest,TW,,Woodbury Park Road,0.6379353,Very Good,255,51.141013,0.266183
TWWest,TW,Langton Green,Colbran Way,0.6260473,Very Good,29,51.132576,0.228334
TWWest,TW,Rusthall,Parsonage Road,0.621285,Very Good,95,51.138283,0.227964
TWWest,TW,,Woodbury Park Gardens,0.6162403,Very Good,23,51.140056,0.265921
TWWest,TW,,William Street,0.60988885,Very Good,60,51.141298,0.258419
TWWest,TW,,Royal Chase,0.609324,Very Good,99,51.136492,0.256255
TWWest,TW,Langton Green,Langholm Road,0.6085536,Very Good,38,51.134059,0.208951
TWWest,TW,,Oakdale Road,0.5983361,Good,44,51.136042,0.253045
TWWest,TW,,Mayfield Road,0.58978033,Good,29,51.135095,0.254114
TWWest,TW,,Grosvenor Park,0.57822496,Good,115,51.137644,0.263143
TWWest,TW,,Clarence Row,0.575769,Good,9,51.133059,0.260819
TWWest,TW,Rusthall,Ashley Gardens,0.57480395,Good,57,51.137835,0.229772
TWWest,TW,Rusthall,Edward Street,0.573489,Good,90,51.134611,0.228587
TWWest,TW,,King Charles Square,0.56843734,Good,27,51.136386,0.259836
TWWest,TW,Rusthall,Meadow Road,0.56794214,Good,80,51.136369,0.229417
TWWest,TW,Rusthall,Ashley Park,0.5646059,Good,20,51.138175,0.231377
TWWest,TW,,Upper Grosvenor Road,0.5636329,Good,941,51.138527,0.265373
