KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
Tenterden,Tenterden,,Abbott Way,0.1588965,Poor,36,51.06706,0.698372
Tenterden,Tenterden,,Acorn Road,0.2979008,Poor,39,51.065765,0.700998
Tenterden,Tenterden,Wittersham,Acton Lane,0.2645573,Poor,35,51.024681,0.713341
Tenterden,Tenterden,,Adams Close,0.2925764,Poor,12,51.075621,0.694902
Tenterden,Tenterden,Wittersham,Addison Cottages,0.43280092,Good,16,51.012084,0.706272
Tenterden,Tenterden,,Admirals Walk,0.3559633,Moderate,30,51.075078,0.696626
Tenterden,Ashford,Kenardington,Appledore Road,0.33737588,Moderate,350,51.060217,0.813055
Tenterden,Ashford,Appledore,Applegate Court,0.2632437,Poor,15,51.033425,0.815554
Tenterden,Tenterden,St Michaels,Ashford Road,0.30656582,Moderate,440,51.071938,0.691618
Tenterden,Tenterden,,Austens Orchard,0.34577152,Moderate,9,51.0657,0.682806
Tenterden,Ashford,Kenardington,Barnes Lane,0.14788707,Poor,2,51.058262,0.80679
Tenterden,Tenterden,St Michaels,Barnfield,0.16636622,Poor,14,51.081354,0.697891
Tenterden,Tenterden,,Beachy Path,0.30870354,Moderate,70,51.071894,0.693004
Tenterden,Tenterden,,Beacon Oak Road,0.39906928,Moderate,96,51.072606,0.695012
Tenterden,Tenterden,,Beacon Walk,0.24713975,Poor,31,51.074687,0.695233
Tenterden,Ashford,Appledore,Beckett Road,0.1524776,Poor,8,51.013854,0.787054
Tenterden,Cranbrook,Newenden,Beech Road,0.1434508,Poor,13,51.015644,0.613954
Tenterden,Tenterden,,Bells Close,0.31469423,Moderate,6,51.067304,0.687766
Tenterden,Tenterden,,Bells Lane,0.26141208,Poor,27,51.067759,0.68795
Tenterden,Cranbrook,Rolvenden,Benenden Road,0.25469592,Poor,177,51.056029,0.610677
Tenterden,Tenterden,,Bennetts Mews,0.3136281,Moderate,14,51.06579,0.68204
Tenterden,Ashford,Biddenden,Bettenham Lane,0.17572887,Poor,2,51.125994,0.614707
Tenterden,Tenterden,St Michaels,Biddenden Road,0.452935,Good,47,51.099472,0.680119
Tenterden,Ashford,High Halden,Bishop Close,0.22059152,Poor,21,51.103327,0.711416
Tenterden,Tenterden,,Bishop Crescent,0.47634408,Good,46,51.064816,0.68714
Tenterden,Tenterden,,Bramley Grove,0.32314944,Moderate,45,51.065607,0.699248
Tenterden,Tenterden,,Bridewell Lane,0.44544652,Good,51,51.066561,0.686867
Tenterden,Tenterden,Wittersham,Budds Lane,0.20800939,Poor,27,51.009451,0.713903
Tenterden,Tenterden,St Michaels,Bugglesden Road,0.37748244,Moderate,12,51.095968,0.669663
Tenterden,Tenterden,,Burgess Drive,0.44487512,Good,27,51.065125,0.690541
Tenterden,Tenterden,St Michaels,Chalk Avenue,0.19287622,Poor,99,51.081482,0.692715
Tenterden,Ashford,Biddenden,Cheeselands,0.30006456,Moderate,161,51.116899,0.636
Tenterden,Tenterden,,Chennell Park Road,0.34501025,Moderate,16,51.077279,0.672853
Tenterden,Tenterden,,Cherry Orchard,0.29660553,Poor,20,51.065233,0.683978
Tenterden,Tenterden,,Chestnut Close,0.17579116,Poor,8,51.076638,0.698801
Tenterden,Ashford,Biddenden,Chulkhurst Close,0.228191,Poor,10,51.116124,0.63687
Tenterden,Ashford,Biddenden,Chulkhurst,0.3330562,Moderate,71,51.11563,0.636042
Tenterden,Ashford,High Halden,Church Hill,0.18851724,Poor,43,51.102491,0.71415
Tenterden,Tenterden,,Church Road,0.11138451,Poor,23,51.069039,0.685854
Tenterden,Ashford,Biddenden,Church View,0.30768752,Moderate,17,51.1165,0.640121
Tenterden,Ashford,Biddenden,Cloth Hall Gardens,0.23617125,Poor,16,51.116512,0.642794
Tenterden,Tenterden,,Collison Place,0.23685837,Poor,23,51.066925,0.70653
Tenterden,Tenterden,,Colonel Stephens Way,0.19931446,Poor,194,51.078844,0.690092
Tenterden,Tenterden,,Coombe Lane,0.24520545,Poor,17,51.068629,0.685688
Tenterden,Tenterden,Wittersham,Coombelands,0.28029823,Poor,53,51.018319,0.703098
Tenterden,Ashford,Biddenden,Cot Lane,0.30947453,Moderate,36,51.123928,0.650037
Tenterden,Ashford,Appledore,Court Lodge Road,0.2865614,Poor,40,51.029124,0.787457
Tenterden,Tenterden,St Michaels,Crampton House Lane,0.28172025,Poor,11,51.104074,0.680256
Tenterden,Ashford,Biddenden,Cranbrook Road,0.23285684,Poor,207,51.099374,0.622189
Tenterden,Tenterden,,Craythorne,0.295585,Poor,46,51.073561,0.69611
Tenterden,Ashford,High Halden,Cripple Hill,0.16361889,Poor,6,51.111696,0.710132
Tenterden,Tenterden,,Cruttenden Close,0.43016297,Good,28,51.067166,0.699635
Tenterden,Tenterden,,Curteis Road,0.19455959,Poor,22,51.074563,0.691257
Tenterden,Tenterden,,Drury Road,0.2478616,Poor,13,51.074079,0.689244
Tenterden,Tenterden,,East Cross,0.19871993,Poor,31,51.069768,0.68964
Tenterden,Tenterden,,East Hill,0.17675735,Poor,23,51.071162,0.695117
Tenterden,Tenterden,,Eastgate Road,0.3137125,Moderate,46,51.074061,0.697823
Tenterden,Tenterden,,Eastwell Barn Mews,0.22993892,Poor,35,51.071171,0.68819
Tenterden,Tenterden,,Eastwell Meadows,0.1569766,Poor,20,51.069947,0.688633
Tenterden,Ashford,Appledore,Elm Tree Cottages,0.2395007,Poor,20,51.039061,0.785723
Tenterden,Ashford,Appledore,Elm Tree,0.13535908,Poor,11,51.039061,0.785723
Tenterden,Tenterden,,Elmfield,0.39117146,Moderate,42,51.069985,0.692062
Tenterden,Ashford,Appledore,Ferry Road,0.13732506,Poor,2,51.031098,0.771837
Tenterden,Tenterden,,Flat 3A Ashford Road,0.17579116,Poor,1,51.070675,0.690203
Tenterden,Tenterden,Wittersham,Forge Meads,0.26599652,Poor,68,51.015004,0.707582
Tenterden,Tenterden,,Forson Close,0.17375979,Poor,9,51.073097,0.690486
Tenterden,Ashford,Biddenden,Fosten Lane,0.34256312,Moderate,48,51.112076,0.630455
Tenterden,Cranbrook,Rolvenden Layne,Freizingham Lane,0.4995072,Good,16,51.04013,0.644935
Tenterden,Cranbrook,Rolvenden Layne,Frensham Road,0.456151,Good,53,51.042147,0.642453
Tenterden,Ashford,Biddenden,Frittenden Road,0.22691485,Poor,43,51.135328,0.631617
Tenterden,Cranbrook,Newenden,Frogs Hill,0.2529636,Poor,16,51.020191,0.613627
Tenterden,Cranbrook,Rolvenden Layne,Frogs Lane,0.20969704,Poor,27,51.041302,0.638068
Tenterden,Tenterden,,Fuggle Drive,0.2510505,Poor,25,51.06571,0.690104
Tenterden,Ashford,Biddenden,Fullers Way,0.33018953,Moderate,75,51.119259,0.641739
Tenterden,Ashford,High Halden,Further Quarter,0.50627655,Good,60,51.120128,0.707981
Tenterden,Ashford,High Halden,Gascoigne Road,0.17527297,Poor,5,51.110752,0.740499
Tenterden,Cranbrook,Rolvenden,Gatefield Road,0.18908031,Poor,37,51.056663,0.634117
Tenterden,Cranbrook,Rolvenden,Glebe Field,0.13021775,Poor,18,51.050232,0.634138
Tenterden,Ashford,Biddenden,Glebelands,0.3515583,Moderate,80,51.115849,0.639884
Tenterden,Tenterden,St Michaels,Glenwood Close,0.21523315,Poor,7,51.085085,0.692482
Tenterden,Tenterden,,Golden Square,0.25540742,Poor,70,51.071858,0.694601
Tenterden,Tenterden,,Goldsmith Court,0.14589597,Poor,9,51.075673,0.695804
Tenterden,Tenterden,,Goodsall Road,0.2974262,Poor,30,51.064164,0.688515
Tenterden,Ashford,High Halden,Gore Lane,0.17527297,Poor,3,51.111939,0.694571
Tenterden,Tenterden,St Michaels,Grange Crescent,0.43272743,Good,137,51.083897,0.690171
Tenterden,Tenterden,St Michaels,Grange Road,0.43422723,Good,129,51.08511,0.686342
Tenterden,Ashford,High Halden,Greenside,0.44084233,Good,81,51.104534,0.71527
Tenterden,Ashford,Biddenden,Gribble Bridge Lane,0.29864278,Poor,14,51.094227,0.648538
Tenterden,Cranbrook,Rolvenden,Gybbons Road,0.20683776,Poor,30,51.051484,0.633238
Tenterden,Tenterden,,Haffenden Road,0.17779474,Poor,56,51.075204,0.689609
Tenterden,Ashford,High Halden,Halden Close,0.17299466,Poor,49,51.102705,0.699023
Tenterden,Cranbrook,Rolvenden,Halden Field,0.20429365,Poor,70,51.056161,0.631936
Tenterden,Cranbrook,Rolvenden,Halden Lane,0.50434095,Good,15,51.062232,0.635647
Tenterden,Tenterden,,Hales Close,0.16731267,Poor,32,51.070542,0.693636
Tenterden,Ashford,High Halden,Harbourne Lane,0.23497346,Poor,54,51.095103,0.708104
Tenterden,Ashford,Biddenden,Hareplain Road,0.2384642,Poor,28,51.125267,0.615037
Tenterden,Ashford,High Halden,Harris Lane,0.29339793,Poor,25,51.114966,0.70441
Tenterden,Cranbrook,Rolvenden,Hastings Road,0.1864509,Poor,74,51.050445,0.629484
Tenterden,Ashford,Appledore,Hawthorn,0.14583139,Poor,46,51.035714,0.78876
Tenterden,Ashford,Biddenden,Headcorn Road,0.29641876,Poor,138,51.158,0.666964
Tenterden,Ashford,Appledore,Heath Road,0.20698023,Poor,79,51.040669,0.784664
Tenterden,Tenterden,St Michaels,Heather Drive,0.33139798,Moderate,69,51.085909,0.693429
Tenterden,Ashford,Appledore,Heathside,0.23942147,Poor,72,51.040347,0.7857
Tenterden,Tenterden,St Michaels,Henley Fields,0.16280328,Poor,94,51.080147,0.69248
Tenterden,Tenterden,St Michaels,Henley Meadows,0.43552837,Good,184,51.081533,0.689748
Tenterden,Ashford,High Halden,High Halden Lane,0.19166905,Poor,6,51.108204,0.682456
Tenterden,Ashford,Biddenden,High Halden Road,0.30092585,Moderate,74,51.111338,0.680791
Tenterden,Cranbrook,Rolvenden,High Street,0.2829253,Poor,321,51.052639,0.630279
Tenterden,Tenterden,,Highbury Lane,0.33570373,Moderate,7,51.067013,0.685854
